LoopNumber,Date,Time,Latitude1,Longtitude1,Latitude2,Longtitude2,distance,km/s,km/hr,Country,City,LatAccuracy,LongAccuracy
1,06/05/2022,22:53:29:493014,-27.22972323,176.5717086,-27.46200642,176.8041307,34.55578027,6.911156054,24880.16179,NZ,Taipa,7.534033576,3.33748067
2,06/05/2022,22:53:34:792549,-27.63674055,176.9799795,-27.86807669,177.2141489,34.53521494,6.907042987,24865.35475,NZ,Paihia,7.412593309,3.123118919
3,06/05/2022,22:53:40:398612,-27.88148415,177.2277685,-28.11231441,177.4630861,34.53397007,6.906794014,24864.45845,NZ,Paihia,7.168355594,3.372056126
4,06/05/2022,22:53:45:704678,-28.13978213,177.4911936,-28.36999791,177.7276681,34.52195196,6.904390392,24855.80541,NZ,Paihia,6.910672095,3.636638119
5,06/05/2022,22:53:50:998777,-28.38370809,177.7418019,-28.61345693,177.9795127,34.5289475,6.9057895,24860.8422,NZ,Paihia,6.667213072,3.88848269
6,06/05/2022,22:53:56:605960,-28.62651242,177.9930699,-28.85571338,178.2319517,34.52473658,6.904947316,24857.81034,NZ,Paihia,6.424956623,4.140921692
7,06/05/2022,22:54:01:923540,-28.88305528,178.2605596,-29.11163268,178.5006608,34.51498347,6.902996693,24850.7881,NZ,Paihia,6.16903732,4.409630797
8,06/05/2022,22:54:07:227938,-29.12576149,178.5155574,-29.35383704,178.7569331,34.5204737,6.904094741,24854.74107,NZ,Paihia,5.926832963,4.665903129
9,06/05/2022,22:54:12:847091,-29.36727538,178.7712087,-29.5947867,179.0138119,34.51751792,6.903503584,24852.6129,NZ,Paihia,5.685883295,4.922781916
10,06/05/2022,22:54:18:152936,-29.62246382,179.043444,-29.84932225,179.2873136,34.50729115,6.901458231,24845.24963,NZ,Ngunguru,5.767347752,4.787313584
11,06/05/2022,22:54:23:454910,-29.86281938,179.3018787,-30.08915696,179.5470718,34.51346733,6.902693467,24849.69648,NZ,Ngunguru,5.527513041,5.047071784
12,06/05/2022,22:54:29:055624,-30.1023793,179.5614513,-30.32812549,179.8079143,34.51006604,6.902013208,24847.24755,NZ,Ngunguru,5.288544512,5.307914272
13,06/05/2022,22:54:34:353005,-30.35475471,179.8371078,-30.57982436,-179.9151189,34.49987873,6.899975745,24839.91268,TO,`Ohonua,9.246494355,4.965118858
14,06/05/2022,22:54:39:636811,-30.59283444,-179.9007396,-30.81735649,-179.6515996,34.50572929,6.901145857,24844.12509,TO,`Ohonua,9.484026491,4.701599589
15,06/05/2022,22:54:45:265148,-30.82965845,-179.6378943,-31.0535689,-179.3874389,34.50280201,6.900560403,24842.01745,TO,`Ohonua,9.720238903,4.437438881
16,06/05/2022,22:54:50:569969,-31.08121351,-179.3563842,-31.30441869,-179.1045612,34.49279435,6.89855887,24834.81193,TO,`Ohonua,9.971088694,4.154561238
17,06/05/2022,22:54:55:878639,-31.3176482,-179.0895745,-31.54027142,-178.8363427,34.49755045,6.89951009,24838.23632,TO,`Ohonua,10.20694142,3.886342718
18,06/05/2022,22:55:01:508152,-31.55357912,-178.8211428,-31.77556641,-178.5665363,34.49537616,6.899075233,24836.67084,TO,`Ohonua,10.44223641,3.61653626
19,06/05/2022,22:55:06:809306,-31.80302199,-178.5349069,-32.024272,-178.2788873,34.48475755,6.89695151,24829.02544,TO,`Ohonua,10.690942,3.328887296
20,06/05/2022,22:55:12:112313,-32.0372289,-178.2638311,-32.25787778,-178.0063455,34.49074118,6.898148237,24833.33365,TO,`Ohonua,10.92454778,3.056345462
21,06/05/2022,22:55:17:708762,-32.27081118,-177.9911887,-32.49080037,-177.732278,34.48903338,6.897806677,24832.10404,TO,`Ohonua,11.15747037,2.782278049
22,06/05/2022,22:55:23:006908,-32.516549,-177.7018365,-32.73576927,-177.4414797,34.47734074,6.895468148,24823.68533,NZ,Waitangi,11.21776073,0.881749659
23,06/05/2022,22:55:28:324662,-32.74847528,-177.426324,-32.96706118,-177.1644586,34.48250927,6.896501854,24827.40667,NZ,Waitangi,10.98646882,0.604728627
24,06/05/2022,22:55:33:935223,-32.98052066,-177.1482634,-33.19841946,-176.8849168,34.48124754,6.896249508,24826.49823,NZ,Waitangi,10.75511054,0.325186768
25,06/05/2022,22:55:39:225946,-33.2245364,-176.8532049,-33.44164018,-176.588351,34.4704245,6.8940849,24818.70564,NZ,Waitangi,10.51188982,0.028621
26,06/05/2022,22:55:44:521493,-33.4538966,-176.5733323,-33.67033923,-176.3069199,34.47587056,6.895174112,24822.6268,NZ,Waitangi,10.28319077,0.252810106
27,06/05/2022,22:55:50:126965,-33.68270254,-176.2916338,-33.89842133,-176.0237098,34.47298211,6.894596423,24820.54712,NZ,Waitangi,10.05510867,0.536020219
28,06/05/2022,22:55:55:427879,-33.92406294,-175.9917096,-34.13896119,-175.722223,34.46290932,6.892581864,24813.29471,NZ,Waitangi,9.814568805,0.837506988
29,06/05/2022,22:56:00:739241,-34.15152988,-175.7063893,-34.36573429,-175.4352919,34.46822848,6.893645695,24817.1245,NZ,Waitangi,9.587795705,1.124438128
30,06/05/2022,22:56:06:349840,-34.37864676,-175.4188739,-34.59209828,-175.1462064,34.46590827,6.893181653,24815.45395,NZ,Waitangi,9.361431724,1.413523649
31,06/05/2022,22:56:11:644960,-34.61768234,-175.1133628,-34.83027756,-174.8390836,34.45535899,6.891071798,24807.85847,NZ,Waitangi,9.123252439,1.720646431
32,06/05/2022,22:56:16:939225,-34.8424659,-174.8232846,-35.05433916,-174.5473419,34.46112555,6.892225109,24812.01039,NZ,Waitangi,8.899190844,2.012388074
33,06/05/2022,22:56:22:549548,-35.06638609,-174.5315773,-35.27747432,-174.2540239,34.45831787,6.891663574,24809.98887,NZ,Waitangi,8.676055677,2.305706142
34,06/05/2022,22:56:27:843318,-35.30276336,-174.2206026,-35.51296303,-173.9413849,34.44791682,6.889583363,24802.50011,NZ,Waitangi,8.440566972,2.618345088
35,06/05/2022,22:56:33:144709,-35.52495464,-173.9253786,-35.73439766,-173.6444498,34.45334036,6.890668072,24806.40506,NZ,Waitangi,8.219132335,2.915280195
36,06/05/2022,22:56:38:759426,-35.74660849,-173.6279909,-35.95524043,-173.345389,34.45179112,6.890358224,24805.28961,NZ,Waitangi,7.998289571,3.21434099
37,06/05/2022,22:56:44:044049,-35.98041,-173.3111168,-36.18811385,-173.0268037,34.44065872,6.888131744,24797.27428,NZ,Waitangi,7.765416153,3.532926304
38,06/05/2022,22:56:49:353752,-36.19958418,-173.0110244,-36.40650188,-172.724948,34.44659145,6.889318291,24801.54585,NZ,Waitangi,7.547028117,3.834781951
39,06/05/2022,22:56:54:969767,-36.41890271,-172.7077165,-36.62496861,-172.4199221,34.44412259,6.888824517,24799.76826,NZ,Waitangi,7.328561385,4.139807904
40,06/05/2022,22:57:00:278429,-36.64988333,-172.3849381,-36.8549879,-172.0953771,34.43342556,6.886685113,24792.06641,NZ,Waitangi,7.098542104,4.464352942
41,06/05/2022,22:57:05:582379,-36.86729617,-172.0779111,-37.0715776,-171.7865249,34.43971099,6.887942197,24796.59191,NZ,Waitangi,6.8819524,4.773205087
42,06/05/2022,22:57:11:205605,-37.08358022,-171.7693155,-37.28697224,-171.4761685,34.43666196,6.887332391,24794.39661,NZ,Waitangi,6.666557762,5.083561517
43,06/05/2022,22:57:16:518134,-37.31185522,-171.4401056,-37.51425671,-171.1451251,34.42749352,6.885498704,24787.79534,NZ,Waitangi,6.43927329,5.414604881
44,06/05/2022,22:57:21:814918,-37.52654975,-171.1271143,-37.72807992,-170.8302724,34.43192291,6.886384582,24790.9845,NZ,Waitangi,6.225450075,5.729457552
45,06/05/2022,22:57:27:437479,-37.73963822,-170.813157,-37.94025042,-170.5144979,34.42998817,6.885997635,24789.59149,NZ,Waitangi,6.013279584,6.045232079
46,06/05/2022,22:57:32:732566,-37.96475977,-170.4778014,-38.16433412,-170.1772718,34.41926117,6.883852233,24781.86804,NZ,Waitangi,5.789195883,6.382458166
47,06/05/2022,22:57:38:027072,-38.1757686,-170.1599597,-38.37444816,-169.8575078,34.42563419,6.885126838,24786.45662,NZ,Waitangi,5.579081841,6.702222239
48,06/05/2022,22:57:43:664834,-38.38574612,-169.8402145,-38.58346615,-169.5359044,34.4229239,6.884584781,24784.50521,NZ,Waitangi,5.37006385,7.02382563
49,06/05/2022,22:57:48:967639,-38.6082172,-169.4975856,-38.80486108,-169.1913435,34.41289579,6.882579157,24777.28497,NZ,Waitangi,5.148668921,7.368386517
50,06/05/2022,22:57:54:276996,-38.81642738,-169.17323,-39.01212966,-168.8650231,34.41815941,6.883631881,24781.07477,NZ,Waitangi,4.941400342,7.694706877
51,06/05/2022,22:57:59:886262,-39.02383603,-168.8464828,-39.21853961,-168.536361,34.41585807,6.883171613,24779.41781,NZ,Waitangi,4.734990392,8.023369001
52,06/05/2022,22:58:05:189129,-39.24180657,-168.4990781,-39.43539576,-168.1869898,34.40537522,6.881075044,24771.87016,NZ,Waitangi,4.518134239,8.372740237
53,06/05/2022,22:58:10:491384,-39.4467823,-168.1685277,-39.63938888,-167.8544276,34.41050466,6.882100933,24775.56336,NZ,Waitangi,4.314141117,8.705302444
